name,genre
 Chayanne ,World/International
 Charlie Worsham ,Country
 Chrisette Michele ,Hip-Hop
 Chris Cagle ,Country
 Clay Walker ,Country
 Death Cab for Cutie ,Alternative
 Dido ,Alternative
 Dru Hill ,R&B/Soul
 Emeli Sandé ,Pop
 Frank Sinatra ,Jazz
 Jack White ,Rock
 India.Arie ,R&B/Soul
 INXS ,Rock
 Jeremy Camp ,Christian & Gospel
 Kylie Minogue ,Pop
 Jimi Hendrix ,Rock
 Jim Croce ,Pop
 John Fogerty ,Rock & Roll
 Leonard Cohen ,Folk-Rock
 Lenny Kravitz ,Alternative
 Lucero ,Alternative Country
 Mat Kearney ,Singer/Songwriter
 Michael W. Smith ,Christian & Gospel
 Noah and the Whale ,Rock
 No Doubt ,Pop
 Nina Simone ,Soul
 Oasis ,Alternative
 Olly Murs ,Pop
 OutKast ,Hip-Hop/Rap
 Pantera ,Metal
 Ray LaMontagne ,Folk-Rock
 Radiohead ,Rock
 Santana ,Rock
 Sarah Brightman ,Pop
 Sepultura ,Rock
 Sleeping With Sirens ,Pop/Rock
 Suzy Bogguss ,Country
 Taking Back Sunday ,Rock
 Tears for Fears ,Pop
 The Avett Brothers ,Rock
 The All-American Rejects ,Pop
 The Nitty Gritty Dirt Band ,Rock
 Three Dog Night ,American Trad Rock
 We Are The In Crowd ,Pop/Rock
 Bill Anderson ,Traditional Country
 Wynonna ,Country
 Alt-J ,Indie Rock
 Farruko ,Reggaeton y Hip-Hop
 DJ Kasualmadness ,Electronic
 A Great Big World ,Pop
 AGER ,Underground Rap
 Los De La T ,Pop Latino
 Asleep at the Wheel ,Traditional Country
 CeCe Winans ,R&B/Soul
 Cliff Richard ,Classic Rock
 Christian Kane ,Country
 Cypress Hill ,Hip-Hop/Rap
 Danity Kane ,Alternative
 Deana Carter ,Contemporary Country
 Diamond Rings ,Alternative
 DJ Mustard ,Hip-Hop
 DJ Rap ,Dance
" Earth, Wind & Fire ",R&B/Soul
 Erasure ,House
 Glen Campbell ,Country
 Great White ,Blues-Rock
 Heart ,Rock
 Jerry Jeff Walker ,Country
 Joss Stone ,Soul
 Keri Hilson ,Contemporary R&B
 Keith Richards ,Rock
 Kelly Rowland ,R&B/Soul
 Kevin Fowler ,Country
 Kindred the Family Soul ,R&B/Soul
 KRS-One ,Hip-Hop/Rap
 Laura Pausini ,VH1 Celebrity
